,service_name,api_name,zipkin_timestamp,duration
5888,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:38:17,1.250000
5889,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:38:18,1.749000
5890,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:38:10,1.525000
5891,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:38:10,40.401000
5892,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:38:16,20.449000
5893,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:38:14,22.609000
5894,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:38:39,1.340000
5895,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:38:39,35.323000
5896,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:38:41,1.505000
5897,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:38:41,34.566000
5898,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:38:45,26.886000
5899,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:38:40,18.763000
5900,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:38:46,23.556000
5901,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:38:44,54.407000
5902,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:40:01,44.958000
5903,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:39:59,31.462000
5904,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:40:03,1.784000
5905,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:40:03,4.375000
5906,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:39:58,9.943000
5907,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:39:58,2.39000
5908,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:42:46,54.328000
5909,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:42:46,12.615000
5910,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:42:38,52.787000
5911,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:42:46,1.812000
5912,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:42:48,41.283000
5913,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:42:40,50.560000
5914,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:42:41,20.798000
5915,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:42:41,49.430000
5916,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:43:16,39.811000
5917,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:43:20,26.335000
5918,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:43:20,13.515000
5919,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:43:19,27.174000
5920,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:43:16,1.832000
5921,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:43:31,1.619000
5922,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:43:30,4.320000
5923,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:43:27,8.605000
5924,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:43:26,1.213000
5925,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:43:26,23.957000
5926,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:43:32,0.332000
5927,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:43:33,1.865000
5928,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:43:36,1.907000
5929,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:43:24,2.819000
5930,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:43:36,50.237000
5931,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:43:36,51.740000
5932,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:04:50,44.29000
5933,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:04:50,5.633000
5934,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:04:51,39.565000
5935,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:05:02,43.821000
5936,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:05:34,36.158000
5937,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:05:36,1.876000
5938,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:05:36,18.122000
5939,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:05:35,1.758000
5940,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:05:29,56.430000
5941,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:05:33,23.627000
5942,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:05:32,25.279000
5943,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:06:13,43.870000
5944,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:06:05,50.174000
5945,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:06:05,49.30000
5946,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:06:04,1.714000
5947,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:06:03,6.472000
5948,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:06:04,46.868000
5949,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:06:06,1.695000
5950,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:06:07,47.499000
5951,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:06:11,50.329000
5952,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:06:12,1.715000
5953,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:06:21,7.742000
5954,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:06:16,43.589000
5955,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:06:16,21.699000
5956,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:06:15,44.809000
5957,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:06:19,1.762000
5958,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:07:29,1.115000
5959,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:25,53.543000
5960,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:26,30.995000
5961,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:32,56.435000
5962,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:07:32,1.893000
5963,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:27,29.396000
5964,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:31,55.298000
5965,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:07:31,1.920000
5966,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:31,49.697000
5967,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:35,19.854000
5968,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:35,47.848000
5969,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:36,50.683000
5970,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:29,52.474000
5971,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:30,36.296000
5972,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:07:40,1.669000
5973,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:07:35,52.429000
5974,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:07:37,1.749000
5975,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:08:47,51.254000
5976,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:08:50,17.679000
5977,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:08:51,35.817000
5978,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:09:05,46.698000
5979,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:09:06,12.792000
5980,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:09:12,47.816000
5981,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:09:13,1.639000
5982,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:09:07,20.956000
5983,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:09:08,1.484000
5984,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:09:08,30.703000
5985,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:09:07,49.677000
5986,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:09:05,1.649000
5987,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:09:33,43.290000
5988,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:09:38,37.569000
5989,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:10:10,50.957000
5990,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:10:07,1.683000
5991,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:10:08,1.794000
5992,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:10:14,38.175000
5993,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:10:18,1.747000
5994,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:10:18,9.888000
5995,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:10:22,10.404000
5996,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:10:21,35.530000
5997,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:10:20,52.574000
5998,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:10:27,17.646000
5999,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:10:25,1.765000
6000,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:11:28,46.667000
6001,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:11:29,53.128000
6002,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:11:26,9.739000
